,Actor Ethnicity,count
453,/m/05bzpzx,1
454,/m/04lhnps,1
455,/m/0fp54b,1
456,/m/01hm_,1
457,/m/0288fw3,1
458,/m/0ft9bs,1
459,/m/01gr8h,1
460,/m/09g34_,1
461,/m/0d8qls,1
462,/m/08xbxs,1
463,/m/032m0b,1
464,/m/04hqxn,1
465,/m/068y7m,1
466,/m/044bp_,1
467,/m/039z49,1
468,/m/047q05d,1
469,/m/0c50f,1
470,/m/01srl7,1
471,/m/0fpxlz9,1
472,/m/0bdynxs,1
473,/m/01gby2,1
474,/m/043_z22,1
475,/m/03x_fq7,1
476,/m/01hphz,1
477,/m/033fjj,1
478,/m/013y54,1
