,Actor Ethnicity,count
0,/m/0dryh9k,16351
1,/m/0x67,10159
2,/m/041rx,10121
3,/m/02w7gg,6165
4,/m/033tf_,3857
5,/m/0xnvg,2956
6,/m/02ctzb,2307
7,/m/07hwkr,2250
8,/m/07bch9,2223
9,/m/044038p,1885
10,/m/03bkbh,1637
11,/m/0d7wh,1433
12,/m/03ts0c,1350
13,/m/0222qb,1305
14,/m/01rv7x,1215
15,/m/02sch9,1155
16,/m/04mvp8,1146
17,/m/03lmx1,1028
18,/m/065b6q,977
19,/m/01qhm_,949
20,/m/06mvq,905
21,/m/048z7l,903
22,/m/0bpjh3,868
23,/m/0cqgdq,850
24,/m/0g8_vp,777
25,/m/09vc4s,704
26,/m/013xrm,698
27,/m/019kn7,649
28,/m/06gbnc,598
29,/m/07mqps,586
30,/m/01g7zj,579
31,/m/01xhh5,574
32,/m/03bx0k4,561
33,/m/0g96wd,533
34,/m/02g7sp,532
35,/m/09m6hr,484
36,/m/063k3h,483
37,/m/0g0x7_,463
38,/m/03ttfc,384
39,/m/023mqw,381
40,/m/0d2by,380
41,/m/09kr66,377
42,/m/042gtr,377
43,/m/025rpb0,376
44,/m/08hpk0,374
45,/m/038723,362
46,/m/0583cz,356
47,/m/022dp5,339
48,/m/0cmdl5l,330
49,/m/03vv99,319
50,/m/029f2r,314
51,/m/09k5jvk,314
52,/m/0cnvdq1,312
53,/m/06v41q,300
54,/m/04gfy7,279
55,/m/0bymc,279
56,/m/0cn68,278
57,/m/09v5bdn,265
58,/m/05l3g_,262
59,/m/0268_k,255
60,/m/0dqqwy,243
61,/m/075_n6,241
62,/m/0bbz66j,240
63,/m/02rbdlq,225
64,/m/0bkbz,224
65,/m/01336l,224
66,/m/04dbw3,222
67,/m/0fqz6,211
68,/m/06j2v,207
69,/m/046cwm,207
70,/m/0g6ff,205
71,/m/0432mrk,202
72,/m/0gkxl2,201
73,/m/02p1pl6,200
74,/m/03w9bjf,199
75,/m/04tvpv,197
76,/m/027n1m6,194
77,/m/09743,188
78,/m/0bhsnb,180
79,/m/013b6_,177
80,/m/048sp5,171
81,/m/0h2138,169
82,/m/02y_9mh,168
83,/m/02jvpv,168
84,/m/0dbxy,165
85,/m/02vsw1,164
86,/m/08cjt2,158
87,/m/013s3n,154
88,/m/09zyn5,150
89,/m/0cm7w1,148
90,/m/04q7gbh,146
91,/m/0fj1k9,143
92,/m/0fqp6zk,143
93,/m/04f581,142
94,/m/012c1l,141
95,/m/071x0k,141
96,/m/0ffjqy,138
97,/m/0ffkb4,136
98,/m/0g5y6,132
99,/m/0bzkm2,132
100,/m/0dllcfn,130
101,/m/04y8_bm,130
102,/m/03gskx0,129
103,/m/0268d21,125
104,/m/019lrz,123
105,/m/02p4q5p,122
106,/m/04czx7,121
107,/m/02p656s,121
108,/m/0ffhz3,121
109,/m/04jq32s,115
110,/m/04mmhj,112
111,/m/0dj8k3,109
112,/m/059_w,107
113,/m/01kg2v,106
114,/m/0222hg,106
115,/m/0f0gt_,103
116,/m/01j2qv,101
117,/m/0ffjvd,101
118,/m/032j30,96
119,/m/033njm,95
120,/m/0bs7l_v,94
121,/m/0g48m4,91
122,/m/022fdt,90
123,/m/052r3t,89
124,/m/0bfjm7,88
125,/m/01xttr,87
126,/m/04ydrsn,86
127,/m/03295l,86
128,/m/06lshc,85
129,/m/03cbkrf,84
130,/m/0283js_,81
131,/m/09cqth,79
132,/m/04nrnz,79
133,/m/05748,78
134,/m/025_0f0,77
135,/m/01trsl,74
136,/m/09vmyh,74
137,/m/05sf2x,71
138,/m/09gk_6h,67
139,/m/078vc,66
140,/m/01p7s6,64
141,/m/017sq0,63
142,/m/018s6c,62
143,/m/04y29,61
144,/m/067lts,61
145,/m/05g0f1,60
146,/m/0761bp,59
147,/m/09gp4,58
148,/m/02qv_h_,57
149,/m/0640_7q,55
150,/m/0912ll,55
151,/m/013b7g,55
152,/m/067lrj,55
153,/m/0b79c7,55
154,/m/09lz9zx,54
155,/m/01swvz,52
156,/m/01nbcy,52
157,/m/0b0gzf,52
158,/m/071drf,50
159,/m/027vy0s,50
160,/m/0150zs,50
161,/m/0278pqj,48
162,/m/0747611,48
163,/m/0c2hxm,48
164,/m/0462jl6,47
165,/m/074w_m,45
166,/m/04ggbzy,45
167,/m/0hbz9xw,44
168,/m/0152s7,44
169,/m/0fng3k,43
170,/m/0j4w_,43
171,/m/0b98sy,43
172,/m/08v2k7,43
173,/m/0j6x8,43
174,/m/0d9q7j,42
175,/m/016f5d,42
176,/m/0ffj5g,42
177,/m/0338zd,41
178,/m/04_tz7,40
179,/m/027lf0d,39
180,/m/0ch3pqf,39
181,/m/06fczy,39
182,/m/01mw1s,39
183,/m/04608z,38
184,/m/04_hr_,37
185,/m/026cybk,37
186,/m/01hwt,36
187,/m/08gzsf,36
188,/m/05vhv7,35
189,/m/04_bc8,35
190,/m/06rd7,35
191,/m/0318mh,34
192,/m/02wcbj_,34
193,/m/0520604,34
194,/m/07j80c,34
195,/m/078ds,34
196,/m/0fk1z,33
197,/m/0dv5vw,33
198,/m/04znbg,33
199,/m/01sq7s,33
200,/m/0gf5k1,33
201,/m/03pqwy,32
202,/m/031_sd,32
203,/m/012f86,32
204,/m/092h2qt,31
205,/m/033qxt,31
206,/m/03vghh,31
207,/m/0bjbszh,30
208,/m/07hyjp,29
209,/m/03yk6g,29
210,/m/0h1nk0k,28
211,/m/04zjjt,28
212,/m/02czfr,28
213,/m/05qb937,28
214,/m/047l_90,28
215,/m/0bnzjx,28
216,/m/02q206y,28
217,/m/0665pp,28
218,/m/07gzw5,27
219,/m/062_25,27
220,/m/0hj35,26
221,/m/0bh91q8,25
222,/m/01g0y_,25
223,/m/07lv5x,25
224,/m/0g4pffv,24
225,/m/0828vj,24
226,/m/07d_p8,24
227,/m/04lhn7b,24
228,/m/0fq6zlv,24
229,/m/0268pvf,24
230,/m/0466nw8,23
231,/m/04pnf,22
232,/m/02p_gby,21
233,/m/06k6sl,21
234,/m/0738n4,21
235,/m/0266mf0,21
236,/m/0cx3p,21
237,/m/04kbvpz,21
238,/m/07s9g04,21
239,/m/04l_pt,20
240,/m/026c9dq,20
241,/m/01ylpf,20
242,/m/0g5k7qv,19
243,/m/01tyl3,19
244,/m/0b__fv3,19
245,/m/02vkd28,19
246,/m/013s41,19
247,/m/047948f,19
248,/m/067lwk,18
249,/m/03d19xz,18
250,/m/02gx2x,18
251,/m/021pd,18
252,/m/013s2p,18
253,/m/09fqz7,18
254,/m/0ffhvl,18
255,/m/075dhf0,18
256,/m/02dd5z,18
257,/m/03wbmrc,18
258,/m/0br_8h,17
259,/m/097nms,17
260,/m/02cm28,17
261,/m/0h6mqq9,17
262,/m/09tqq8q,17
263,/m/0301y_,17
264,/m/0d8qh0,16
265,/m/03h1dq9,16
266,/m/03fk0c,16
267,/m/026kx7g,16
268,/m/04k02l,16
269,/m/051wcch,16
270,/m/026zlyd,16
271,/m/01n94b,16
272,/m/04dzwby,15
273,/m/0btrm4,15
274,/m/03ndvw,15
275,/m/0fxmtg,15
276,/m/04sfz4s,15
277,/m/03cnzsg,15
278,/m/03r_k,15
279,/m/03f3sf,15
280,/m/04lfc70,15
281,/m/02vkw95,15
282,/m/09y7x4,14
283,/m/0fk3s,14
284,/m/0h8mzsl,14
285,/m/02p444n,14
286,/m/03kbr,14
287,/m/0bns36b,14
288,/m/0bbcnlt,14
289,/m/046j25,13
290,/m/0dq1q,13
291,/m/02rdfpy,12
292,/m/05c60ml,12
293,/m/0470lk,12
294,/m/02p7gyv,12
295,/m/0c29q8,12
296,/m/03ck8x1,12
297,/m/042199j,12
298,/m/0bms44,12
299,/m/01nft3,12
300,/m/01d7kx,12
301,/m/01c034,12
302,/m/05cc9h,12
303,/m/03cl2pz,11
304,/m/03x_lpj,11
305,/m/02rp50t,11
306,/m/03m3p6w,11
307,/m/02r_qms,11
308,/m/086wp0,11
309,/m/065z7w_,11
310,/m/01f9bg,11
311,/m/03sx6v,11
312,/m/034s7b,11
313,/m/0987ctr,11
314,/m/03gy1h2,10
315,/m/0c_lbq,10
316,/m/03ftx7,10
317,/m/067lv3,10
318,/m/0g44f5,10
319,/m/03d26m9,10
320,/m/0165md,10
321,/m/0dqrh8,10
322,/m/0cc5y74,10
323,/m/0289z8v,10
324,/m/01267,10
325,/m/0fpjs3j,9
326,/m/03cdk7b,9
327,/m/0bfrrj,9
328,/m/04wy6k,9
329,/m/03zcwh,9
330,/m/0dc58y8,9
331,/m/0g5rkt4,8
332,/m/0647lm,8
333,/m/04fh1b,8
334,/m/047bp1r,8
335,/m/09cd0m,8
336,/m/03fvrb,8
337,/m/025x6k1,8
338,/m/02rm7_9,8
339,/m/01l0ty,8
340,/m/07s49c2,8
341,/m/03ty8_,8
342,/m/02m0kh,8
343,/m/05ms3p0,7
344,/m/0gtwjz6,7
345,/m/0ftlzz,7
346,/m/02pzb09,7
347,/m/05sycg,7
348,/m/051x6yk,7
349,/m/01vsch,7
350,/m/04csgrq,7
351,/m/064b9n,7
352,/m/09chmw,7
353,/m/095mw2,6
354,/m/09snp5,6
355,/m/025tvhm,6
356,/m/0c41n,6
357,/m/01_5cg,6
358,/m/025xss1,6
359,/m/0404kdr,6
360,/m/0ftwg,6
361,/m/0790v,6
362,/m/02r3wfk,6
363,/m/03h11s3,5
364,/m/01vr3v,5
365,/m/0c3wsgg,5
366,/m/06y24j,5
367,/m/0ckk60,5
368,/m/03lnnd,5
369,/m/04hlx1,5
370,/m/062zk4r,5
371,/m/097r55,5
372,/m/0b8yvr,5
373,/m/0br_9j,5
374,/m/0xff,5
375,/m/01crfj,5
376,/m/05mtdy,5
377,/m/065577s,5
378,/m/0fp4n,4
379,/m/0301xt,4
380,/m/01kb9y,4
381,/m/0268xtg,4
382,/m/05y2yj,4
383,/m/0ffk5n,4
384,/m/02vys3l,4
385,/m/01h4n,4
386,/m/0bvnws,4
387,/m/06dy2k,4
388,/m/08yg47,4
389,/m/08c25t,4
390,/m/0bvjpj,4
391,/m/03x1x,4
392,/m/0dn1_0,4
393,/m/02qv716,3
394,/m/02r11hz,3
395,/m/06bkf,3
396,/m/035b50,3
397,/m/0166vx,3
398,/m/01g3rx,3
399,/m/06w4lv,3
400,/m/04wysy,3
401,/m/064pj,3
402,/m/013z8m,3
403,/m/04118b,3
404,/m/064rb5l,3
405,/m/01ywdy,3
406,/m/01flqq,3
407,/m/0960kn,3
408,/m/0180zw,3
409,/m/0463n9y,3
410,/m/0d32d1,3
411,/m/07n8wy,3
412,/m/03q819,2
413,/m/06vb7b,2
414,/m/02pj9yr,2
415,/m/03hf_6z,2
416,/m/01km_m,2
417,/m/062szv5,2
418,/m/07g8yp,2
419,/m/0fk55,2
420,/m/04lgl9t,2
421,/m/0444sm4,2
422,/m/03m9my8,2
423,/m/03cjjy0,2
424,/m/03cmqbt,2
425,/m/0b3zsn,2
426,/m/03b_13l,2
427,/m/0152wh,2
428,/m/05ysft4,2
429,/m/05sng,2
430,/m/059v8,2
431,/m/09c8kp,1
432,/m/04jtjvt,1
433,/m/04c28,1
434,/m/03sk2,1
435,/m/05ztd1,1
436,/m/0dm3xpw,1
437,/m/03hjx6f,1
438,/m/026d074,1
439,/m/03nvq,1
440,/m/03nz70,1
441,/m/029q52,1
442,/m/02wz7j,1
443,/m/04kdwcx,1
444,/m/02ry8mk,1
445,/m/07wsyr,1
446,/m/09r2kh,1
447,/m/04_8lfc,1
448,/m/033qt1,1
449,/m/012fh,1
450,/m/08j1fb,1
451,/m/027936c,1
452,/m/0dtkkb,1
