Wiki_movie_ID,Freebase_movie_ID,Movie_release_date,Character_name,Actor_date_of_birth,Actor_gender,Actor_height,Actor_ethnicity_Freebase_ID,Actor_name,Actor_age,Freebase_character/actor_ID,Freebase_character_ID,Freebase_actor_ID,Occupations,Occupation Labels
24863901,/m/09gnwkp,2010,Narrator,1957-07-09,F,1.78,/m/07hwkr,Kelly McGillis,52.0,/m/09j46vn,/m/0147fv,/m/01r2q_,,
1940449,/m/067p6m,1993-11-05,RoboCop,1960-09-12,M,,,Robert John Burke,33.0,/m/02vb9bm,/m/0h3w0g,/m/0fw0l9,http://www.wikidata.org/entity/Q384593,police officer
362719,/m/01_mdl,1978-12-10,Clark Kent,1952-09-25,M,1.93,,Christopher Reeve,26.0,/m/0hd9fl8,/m/02362,/m/0jrny,"http://www.wikidata.org/entity/Q42909, http://www.wikidata.org/entity/Q42909, http://www.wikidata.org/entity/Q42909, http://www.wikidata.org/entity/Q42909","reporter, reporter, reporter, reporter"
362719,/m/01_mdl,1978-12-10,Lex Luthor,1930-01-30,M,1.88,/m/07hwkr,Gene Hackman,48.0,/m/0k3z0y,/m/04q78,/m/039bp,"http://www.wikidata.org/entity/Q81096, http://www.wikidata.org/entity/Q169470, http://www.wikidata.org/entity/Q188784, http://www.wikidata.org/entity/Q205375, http://www.wikidata.org/entity/Q484876, http://www.wikidata.org/entity/Q593644, http://www.wikidata.org/entity/Q911554, http://www.wikidata.org/entity/Q2961975, http://www.wikidata.org/entity/Q3437279, http://www.wikidata.org/entity/Q4947495, http://www.wikidata.org/entity/Q15883433, http://www.wikidata.org/entity/Q10384029, http://www.wikidata.org/entity/Q12362622","engineer, physicist, superhero, inventor, chief executive officer, chemist, business magnate, business executive, roboticist, crime boss, mass murderer, drug trafficker, philanthropist"
362719,/m/01_mdl,1978-12-10,General Zod,1938-07-22,M,1.829,/m/02w7gg,Terence Stamp,40.0,/m/03jskj2,/m/03jlpc,/m/01fkv0,"http://www.wikidata.org/entity/Q1251441, http://www.wikidata.org/entity/Q4991371","leader, soldier"
362719,/m/01_mdl,1978-12-10,Jimmy Olsen,1957-03-31,M,,,Marc McClure,21.0,/m/0k3z20,/m/01l7gv,/m/06rghp,"http://www.wikidata.org/entity/Q42909, http://www.wikidata.org/entity/Q33231","reporter, photographer"
362719,/m/01_mdl,1978-12-10,Perry White,1922-09-15,M,,,Jackie Cooper,56.0,/m/0k3z1d,/m/04mctc,/m/012c6x,"http://www.wikidata.org/entity/Q42909, http://www.wikidata.org/entity/Q589298","reporter, editor-in-chief"
362719,/m/01_mdl,1978-12-10,Superman,1952-09-25,M,1.93,,Christopher Reeve,26.0,/m/0k3z12,/m/070vn,/m/0jrny,"http://www.wikidata.org/entity/Q42909, http://www.wikidata.org/entity/Q188784","reporter, superhero"
362719,/m/01_mdl,1978-12-10,Jonathan Kent,1916-05-01,M,1.803,/m/07bch9,Glenn Ford,62.0,/m/0k3z1k,/m/05hk22,/m/02_01w,,
362719,/m/01_mdl,1978-12-10,Lois Lane,1948-10-17,F,1.68,/m/0g8_vp,Margot Kidder,30.0,/m/0k3z1q,/m/04pzy,/m/04mlmx,"http://www.wikidata.org/entity/Q42909, http://www.wikidata.org/entity/Q1930187","reporter, journalist"
